Operator,Status,Well Type,Work Type,Directional Status,Multi-Lateral,Mineral Owner,Surface Owner,Surface Location,GL Elevation,KB Elevation,DF Elevation,Single/Multiple Completion,Potash Waiver,Spud Date,Last Inspection,TVD,API,Latitude,Longitude,CRS
C&D MANAGEMENT COMPANY DBA FREEDOM VENTURES,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,P-12-17S-27E 660 FSL 660 FEL,3501,,,Single,No C-129 Incidents: 0 P&A 04142009 Proposed: 0 Measured Vertical Depth: 1822,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 04/14/2009 Site Release:,04/14/2009 Current APD Expiration: 04/01/1988 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525437,32.8431244,-104.2260284,NAD83
SEP Legacy LLC,Active,Oil,New,Vertical,No,Federal,Federal,L-11-17S-29E 1345 FSL 990 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4517,12/26/1986 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,08/12/2020 Current APD Expiration: 02/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/12/2020,,3001525464,32.8456001,-104.0508423,NAD83
COG OPERATING LLC,"Plugged, Site Released",Oil,New,Vertical,No,State,Private,A-34-17S-28E 965 FNL 330 FEL,3565,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 3030,11/20/1985 Approved TA: Shut In: Plug & Abandoned Intent: 08/30/2017 Well Plugged: 10/31/2017 Site Release: 12/18/2019,12/18/2019 Current APD Expiration: 12/01/1987 Gas Capture Plan: TA Expiration: PNR Expiration: 10/31/2018 Last MIT / BHT: 12/18/2019,,3001525471,32.7958832,-104.1565781,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,Private,P-06-18S-28E 660 FSL 330 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: KIMBERLY STATE Original Operator Name: KIMBERLY STATE FRED POOL /KIMBERLY STATE Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525503,32.7707787,-104.2073212,NAD83
"Acacia Operating Company, LLC",Active,Oil,New,Vertical,No,Federal,Federal,E-22-19S-31E 1980 FNL 510 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 2403,12/31/1985 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,02/03/2021 Current APD Expiration: 04/01/1988 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/03/2021,,3001525507,32.6477737,-103.8640671,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,D-34-26S-30E 660 FNL 660 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: ROSS DRAW UT Original Operator Name: ROSS DRAW UT JC WILLIAMSON /ROSS DRAW UT Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525549,32.004238424514,-103.875541879672,NAD83
OXY USA WTP LIMITED PARTNERSHIP,"Plugged, Site Released",Gas,New,Vertical,No,Federal,Federal,L-25-24S-29E 1980 FSL 760 FWL,3080,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 13090,03/23/1986 Approved TA: Shut In: Plug & Abandoned Intent: 10/21/2019 Well Plugged: 04/28/2021 Site Release: 04/28/2021,02/23/2018 Current APD Expiration: 11/01/1988 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525593,32.1866188,-103.9442749,NAD83
"NSP Resources, LLC",Active,Oil,New,Vertical,No,Federal,Federal,I-04-18S-31E 2130 FSL 710 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8540,08/20/1986 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,10/22/2020 Current APD Expiration: 09/01/1988 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 10/22/2020,,3001525612,32.7751732,-103.868309,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,State,M-19-16S-29E 230 FSL 330 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: DEPCO ST Original Operator Name: DEPCO ST BEACH EXPL INC /DEPCO ST Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525614,32.9006767,-104.1202087,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,Federal,Federal,M-24-18S-31E 990 FSL 990 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: BLACKHAWK FED Original Operator Name: BLACKHAWK FED SIETE OIL & GAS COR/BLACKHAWK FED Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525629,32.7285576,-103.8283691,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,B-29-16S-29E 330 FNL 1980 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: EXXON FED Original Operator Name: EXXON FED MCCLELLAN OIL CORP /EXXON FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525632,32.8991122943336,-104.094924301814,NAD83
SELLERS&FULTON OIL LLC,Reclamation Fund Approved,Oil,New,Vertical,No,Federal,Federal,O-07-17S-29E 560 FSL 1680 FEL,3677,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 2552,11/27/1986 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,07/10/2020 Current APD Expiration: 01/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 07/10/2020,,3001525692,32.8434639,-104.1111145,NAD83
"BTA OIL PRODUCERS, LLC",Active,Gas,New,Vertical,No,Federal,Federal,I-35-23S-24E 1980 FSL 660 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,12/18/1986 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/02/2022 Current APD Expiration: 01/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/02/2022,,3001525702,32.2587395,-104.4627075,NAD83
CIMAREX ENERGY CO. OF COLORADO,"Plugged, Site Released",Gas,New,,No,Federal,Federal,B-03-19S-30E Lot: 2 760 FNL 2080 FEL,,,,Single,No C-129 Incidents: 0 P&A 01312009 Proposed: 0 Measured Vertical Depth: 11250,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/31/2009 Site Release:,04/07/2010 Current APD Expiration: 03/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525718,32.6946297,-103.9580307,NAD83
CIMAREX ENERGY CO. OF COLORADO,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,E-27-26S-29E 1650 FNL 990 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 5073,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 04/28/2014 Site Release: 04/28/2014,01/09/2014 Current APD Expiration: 02/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525720,32.0162659,-103.9775238,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,Federal,Federal,G-15-22S-25E 2080 FNL 1980 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: FEDERAL 15 Original Operator Name: FEDERAL 15 INDREX INC /FEDERAL 15 Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525761,32.3932533,-104.3819427,NAD83
EL RAN INC,"Plugged, Site Released",Oil,New,Vertical,No,State,State,O-16-19S-31E 660 FSL 1980 FWL,3490,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 06/12/2003 Site Release:,06/06/2003 Current APD Expiration: 09/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525775,32.655014,-103.8764877,NAD83
BEACH EXPLORATION INC,Active,Injection,New,Vertical,No,Federal,Federal,K-17-16S-29E 2310 FSL 1950 FWL,3642,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 1813,08/14/1987 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,03/19/2024 Current APD Expiration: 10/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 03/19/2024,,3001525788,32.9208717,-104.0992813,NAD83
Spur Energy Partners LLC,"Plugged, Site Released",Injection,New,Vertical,No,Federal,Federal,D-14-17S-29E 125 FNL 25 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4496,09/13/1987 Approved TA: Shut In: Plug & Abandoned Intent: 12/13/2021 Well Plugged: 04/27/2022 Site Release: 04/27/2022,05/09/2022 Current APD Expiration: 12/01/1989 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 05/09/2022,,3001525790,32.8415642,-104.053978,NAD83
Extex Operating Company,Active,Oil,New,Vertical,No,Federal,Federal,K-11-18S-31E 1980 FSL 1980 FWL,3736,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 9522,11/16/1987 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,10/23/2020 Current APD Expiration: 01/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 10/23/2020,,3001525825,32.7602692,-103.8423615,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,State,N-12-19S-27E 973 FSL 2258 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: MILLMAN STATE Original Operator Name: MILLMAN STATE MOREXCO INC /MILLMAN STATE Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525862,32.6702385,-104.233696,NAD83
SPECIAL ENERGY CORP,Active,Oil,New,Vertical,No,State,State,I-06-18S-31E 1980 FSL 940 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8450,03/17/1988 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/08/2022 Current APD Expiration: 04/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/08/2022,,3001525868,32.7747345,-103.9034119,NAD83
MACK ENERGY CORP,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,E-06-16S-31E Lot: 13 2970 FSL 635 FWL,3969,,,Single,No C-129 Incidents: 0 GB-SA Proposed: 3400 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/22/2001 Site Release:,Current APD Expiration: 05/01/1990 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001525884,32.9515953,-103.9146423,NAD83
