Operator,Status,Well Type,Work Type,Directional Status,Multi-Lateral,Mineral Owner,Surface Owner,Surface Location,GL Elevation,KB Elevation,DF Elevation,Single/Multiple Completion,Potash Waiver,Spud Date,Last Inspection,TVD,API,Latitude,Longitude,CRS
"BXP Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,L-35-19S-29E 1980 FSL 760 FWL,3319,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 5000,11/30/1988 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,03/19/2021 Current APD Expiration: 01/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 03/19/2021,,3001526029,32.6152954,-104.0516891,NAD83
"HARVARD PETROLEUM COMPANY, LLC","Plugged, Site Released",Oil,New,Vertical,No,State,State,N-12-19S-27E 990 FSL 1650 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,02/02/1989 Approved TA: Shut In: Plug & Abandoned Intent: 10/31/2022 Well Plugged: 05/02/2023 Site Release: 10/09/2024,10/09/2024 Current APD Expiration: 02/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: 05/02/2024 Last MIT / BHT: 10/09/2024,,3001526058,32.670311,-104.235672,NAD83
"HARVARD PETROLEUM COMPANY, LLC",Active,Oil,New,Vertical,No,State,State,N-12-19S-27E 330 FSL 1650 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,11/11/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/22/2023 Current APD Expiration: 12/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 05/22/2023,,3001526059,32.668499,-104.2356873,NAD83
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,A-05-17S-31E Lot: 1 660 FNL 660 FEL,3981,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 3916,01/31/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,06/11/2020 Current APD Expiration: 03/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 06/11/2020,,3001526061,32.8689575,-103.8856354,NAD83
"Saguaro Petroleum, LLC",Active,Oil,New,Vertical,No,Federal,Federal,K-25-17S-31E 2130 FSL 1650 FWL,3877,,,Single,No C-129 Incidents: 0 ABO Proposed: 8500 Measured Vertical Depth: 4100,11/10/1993 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,08/22/2022 Current APD Expiration: 02/16/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/22/2022,,3001526067,32.8042297,-103.8263245,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,Federal,Federal,L-17-18S-27E 2095 FSL 922 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: SIMON FED COM Original Operator Name: SIMON FED COM EXXON CORP /SIMON FED COM Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526080,32.7462273,-104.3062592,NAD83
"G and C Operating, LLC",Active,Oil,New,Vertical,No,State,State,P-02-19S-29E 990 FSL 990 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 3100,04/25/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,07/22/2024 Current APD Expiration: 05/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 07/22/2024,,3001526104,32.6850204,-104.040123,NAD83
"MAVERICK OPERATING, LLC",Active,Oil,New,Vertical,No,Federal,Federal,I-28-24S-31E 1980 FSL 810 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,05/03/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,05/13/2026 Current APD Expiration: 09/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 05/13/2026,,3001526109,32.1864662,-103.7768021,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,State,State,F-02-20S-24E 1980 FNL 1980 FWL,3658,,,Single,No C-129 Incidents: 0 P&A 01/06/2010 Proposed: 0 Measured Vertical Depth: 9506,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/23/2010 Site Release:,04/24/2012 Current APD Expiration: 02/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: 01/13/2011 Last MIT / BHT:,,3001526115,32.6046829,-104.5609894,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,State,M-36-17S-26E 660 FSL 660 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: WEST BANK Original Operator Name: WEST BANK SANTA FE EXPL CO /WEST BANK Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526149,32.7861595,-104.3414612,NAD83
MATADOR PRODUCTION COMPANY,Active,Oil,New,Vertical,No,Federal,Federal,I-13-18S-31E 1650 FSL 660 FEL,3727,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 5547,07/19/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,11/13/2020 Current APD Expiration: 09/01/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 11/13/2020,,3001526150,32.7448997,-103.8165817,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,,Private,O-29-22S-26E 990 FSL 1980 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: AIRPORT WEST AGL COM Original Operator Name: AIRPORT WEST AGL COM YATES PET CORP /AIRPORT WEST AGL COM Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526156,32.3586922,-104.3131256,NAD83
Spur Energy Partners LLC,Active,Oil,New,Vertical,No,Federal,Federal,C-17-17S-31E 330 FNL 1650 FWL,,,,Single,No C-129 Incidents: 0 INT TO P&A APVD 7-2-13 / BLM Proposed: 0 Measured Vertical Depth: 6035,01/01/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,06/16/2020 Current APD Expiration: 09/12/1991 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 06/16/2020,,3001526187,32.8408699,-103.8952179,NAD83
"RAYBAW Operating, LLC","Plugged, Not Released",Gas,Re-entry,Vertical,No,State,State,N-36-23S-23E Lot: 3 990 FSL 1880 FWL,4334,,,Single,No C-129 Incidents: 0 MORROW Proposed: 10850 Measured Vertical Depth: 10850,12/31/1996 Approved TA: Shut In: Plug & Abandoned Intent: 10/17/2024 Well Plugged: Site Release:,04/16/2025 Current APD Expiration: 01/27/1996 Gas Capture Plan: TA Expiration: PNR Expiration: 04/29/2026 Last MIT / BHT: 04/16/2025,,3001526205,32.2557869,-104.5564041,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,J-10-17S-31E 2130 FSL 1980 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: H E WEST B Original Operator Name: H E WEST B HONDO OIL & GAS CO /H E WEST B Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526208,32.8476972122972,-103.8554670813,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,Federal,Federal,F-06-19S-27E 1980 FNL 1980 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: FEDERAL 6 Original Operator Name: FEDERAL 6 MARALO INC /FEDERAL 6 Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526228,32.691452,-104.3204041,NAD83
"G and C Operating, LLC",Active,Oil,New,Vertical,No,State,State,E-11-19S-29E 2310 FNL 990 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 2854,02/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,03/11/2021 Current APD Expiration: 01/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 03/11/2021,,3001526234,32.6759529,-104.0509567,NAD83
"G and C Operating, LLC",Active,Injection,New,Vertical,No,State,State,D-11-19S-29E 990 FNL 990 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 2474,11/22/1989 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,07/10/2025 Current APD Expiration: 01/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 07/10/2025,,3001526235,32.6795807,-104.050972,NAD83
"HARVARD PETROLEUM COMPANY, LLC","Plugged, Site Released",Oil,New,Vertical,No,State,State,O-12-19S-27E 330 FSL 2310 FEL,,,,Single,No C-129 Incidents: 0 P&A 04-06-2005 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 04/06/2005 Site Release:,08/10/2006 Current APD Expiration: 01/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526237,32.6684341,-104.2310867,NAD83
PRE-ONGARD WELL OPERATOR,"Plugged, Site Released",Oil,New,,No,State,Federal,P-16-21S-25E 760 FSL 320 FEL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: TOMCAT STATE Original Operator Name: TOMCAT STATE ELK OIL CO /TOMCAT STATE Proposed: 0 Measured Vertical Depth: 0,01/01/1900 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/01/1900 Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526251,32.4740295,-104.3926773,NAD83
"Permian Resources Operating, LLC",Active,Gas,New,Vertical,No,Federal,Federal,O-22-20S-28E 990 FSL 1980 FEL,3229,,,,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 11492,02/19/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,12/22/2023 Current APD Expiration: 08/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 12/22/2023,,3001526253,32.5545349,-104.1634445,NAD83
"BTA OIL PRODUCERS, LLC",Active,Oil,New,Vertical,No,Private,Private,I-22-23S-28E 864 FSL 350 FEL,3022,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6300,01/08/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,02/01/2022 Current APD Expiration: 03/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/01/2022,,3001526264,32.285862,-104.0677338,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,Plugback,Vertical,No,State,Federal,I-25-19S-24E 1980 FSL 660 FEL,3582,,,Single,No C-129 Incidents: 1 Proposed: 0 Measured Vertical Depth: 8000,02/27/1990 Approved TA: Shut In: Plug & Abandoned Intent: 04/13/2022 Well Plugged: 07/05/2022 Site Release: 02/09/2023,02/09/2023 Current APD Expiration: 08/19/2015 Gas Capture Plan: TA Expiration: PNR Expiration: 07/05/2023 Last MIT / BHT: 02/09/2023,,3001526265,32.6301346,-104.5350037,NAD83
COG OPERATING LLC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,J-17-17S-31E 2310 FSL 1650 FEL,,,,Single,No C-129 Incidents: 0 P&A 01/24/2014 Proposed: 0 Measured Vertical Depth: 5560,01/01/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 01/24/2014 Site Release:,08/30/2013 Current APD Expiration: 01/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526273,32.8336487,-103.8887405,NAD83
HARVEY E YATES CO,"Plugged, Site Released",Oil,New,,No,Federal,Federal,P-03-18S-31E 990 FSL 990 FEL,3752,,,Single,No C-129 Incidents: 0 BONE SPRING Proposed: 11275 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 12/21/2000 Site Release:,03/04/2013 Current APD Expiration: 05/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526275,32.772049,-103.8520355,NAD83
CHEVRON U S A INC,"Plugged, Site Released",Oil,New,Vertical,No,Private,Private,D-23-23S-28E 540 FNL 611 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6300,03/15/1990 Approved TA: Shut In: Plug & Abandoned Intent: 11/20/2019 Well Plugged: 02/04/2020 Site Release: 08/07/2020,08/05/2020 Current APD Expiration: 08/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: 02/04/2021 Last MIT / BHT: 08/05/2020,,3001526294,32.2966347,-104.0645828,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Gas,Plugback,Vertical,No,Federal,Private,F-15-20S-24E 1980 FNL 1980 FWL,,,,Single,No C-129 Incidents: 0 P&A 04-23-2008 Proposed: 0 Measured Vertical Depth: 9440,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 04/23/2008 Site Release:,03/27/2007 Current APD Expiration: 12/26/2008 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526310,32.575592,-104.578392,NAD83
Waylander LLC,Active,Oil,New,Vertical,No,Federal,Federal,G-35-26S-31E Lot: 2 400 FSL 1800 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,04/03/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,06/05/2026 Current APD Expiration: 06/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 06/05/2026,,3001526320,32.0013333854827,-103.746073848426,
SEP Legacy LLC,Active,Gas,New,Vertical,No,Federal,Federal,N-11-17S-29E 660 FSL 2080 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 10910,01/09/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,08/12/2020 Current APD Expiration: 07/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/12/2020,,3001526359,32.8437119,-104.047287,NAD83
"PARRISH, H DWANE & RHONDA K","Plugged, Not Released",Oil,New,Vertical,No,State,State,E-12-19S-29E 1650 FNL 330 FWL,3388,,,,No C-129 Incidents: 0 E TURKEY TRACK Proposed: 2600 Measured Vertical Depth: 2620,02/12/1981 Approved TA: Shut In: Plug & Abandoned Intent: 07/19/2024 Well Plugged: Site Release:,06/09/2025 Current APD Expiration: 04/01/1995 Gas Capture Plan: TA Expiration: PNR Expiration: 11/04/2025 Last MIT / BHT: 06/09/2025,,3001526378,32.6777573,-104.0358505,NAD83
BROTHERS PROD CO INC,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,E-11-18S-31E 2310 FNL 600 FWL,3738,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/18/2002 Site Release:,Current APD Expiration: 07/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526379,32.7629776,-103.8468552,NAD83
EASTLAND OIL CO,Active,Oil,New,Vertical,No,Federal,Federal,M-31-19S-30E Lot: 4 810 FSL 660 FWL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,06/28/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,02/23/2021 Current APD Expiration: 08/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/23/2021,,3001526403,32.6118889,-104.0177383,NAD83
"RILEY PERMIAN OPERATING COMPANY, LLC",Active,Salt Water Disposal,New,Vertical,No,Federal,Federal,A-12-18S-27E 660 FNL 990 FEL,3619,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 10141,06/28/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,03/05/2026 Current APD Expiration: 06/13/1992 Gas Capture Plan: TA Expiration: 01/26/2005 PNR Expiration: Last MIT / BHT: 03/05/2026,,3001526404,32.7671509,-104.2267838,NAD83
"EOG Y RESOURCES, INC.",Cancelled Apd,Gas,New,,No,Federal,Federal,E-05-20S-24E 1980 FNL 660 FWL,3856,,,Single,No C-129 Incidents: 0 MORROW Proposed: 9200 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 07/26/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526435,32.60437,-104.61649,NAD83
"BTA OIL PRODUCERS, LLC",Active,Oil,New,Vertical,No,Private,Private,B-15-23S-28E 660 FNL 1980 FEL,3008,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,09/27/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,12/06/2017 Current APD Expiration: 10/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526447,32.3109131,-104.072937,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,Add a Zone,Vertical,No,Private,Federal,B-01-20S-24E Lot: 2 660 FNL 1980 FEL,3592,,,Single,No C-129 Incidents: 0 YESO PERFS SQUEEZED 1-24-2019; CIBP DO Proposed: 0 Measured Vertical Depth: 8275,11/25/1991 Approved TA: Shut In: Plug & Abandoned Intent: 01/25/2022 Well Plugged: 03/07/2022 Site Release: 11/03/2023,11/03/2023 Current APD Expiration: 12/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: 03/07/2023 Last MIT / BHT: 11/03/2023,,3001526454,32.6082878,-104.5392761,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Private,Private,M-12-20S-24E 660 FSL 725 FWL,3602,,,Single,No C-129 Incidents: 0 WOLFCAMP Proposed: 9602 Measured Vertical Depth: 9602,07/21/1998 Approved TA: Shut In: Plug & Abandoned Intent: 06/26/2015 Well Plugged: 03/02/2016 Site Release: 05/31/2016,06/01/2016 Current APD Expiration: 12/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: 03/02/2017 Last MIT / BHT:,,3001526466,32.5828438,-104.5478897,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,New,Vertical,No,Private,Private,A-14-20S-24E 660 FNL 660 FEL,3609,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 9650,10/26/1990 Approved TA: Shut In: Plug & Abandoned Intent: 02/02/2022 Well Plugged: 03/11/2022 Site Release: 12/06/2023,12/06/2023 Current APD Expiration: 12/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: 03/11/2023 Last MIT / BHT: 12/06/2023,,3001526468,32.5792274,-104.5523987,NAD83
"BTA OIL PRODUCERS, LLC",Active,Oil,New,Vertical,No,Private,Private,O-15-23S-28E 525 FSL 1980 FEL,3012,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 6300,10/07/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,02/21/2023 Current APD Expiration: 11/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 02/21/2023,,3001526486,32.2995377,-104.0729599,NAD83
SHACKELFORD OIL CO,"Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,N-11-19S-31E 660 FSL 2080 FWL,,,,Single,No C-129 Incidents: 0 PA 10/12/10 Proposed: 0 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 10/12/2010 Site Release:,04/20/2010 Current APD Expiration: 11/01/1992 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526492,32.6695862,-103.8418732,NAD83
YATES ENERGY CORP,"Plugged, Site Released",Gas,New,Vertical,No,Federal,Private,K-27-23S-23E 2310 FSL 1650 FWL,4188,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 10100,10/24/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 10/04/2018 Site Release: 10/04/2018,03/15/2017 Current APD Expiration: 02/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526501,32.2738991,-104.5913696,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,D-06-20S-30E 330 FNL 330 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: SYLVITE FED Original Operator Name: SYLVITE FED FORTSON OIL CO /SYLVITE FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526504,32.6087621015672,-104.018809835998,NAD83
"EOG Y RESOURCES, INC.","Plugged, Site Released",Oil,New,Vertical,No,Federal,Private,D-14-20S-24E 660 FSL 1980 FEL,3619,,,Single,No C-129 Incidents: 0 P&A 06-04-2008 Proposed: 8120 Measured Vertical Depth: 99999,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 06/04/2008 Site Release:,03/20/2007 Current APD Expiration: 02/01/1994 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 03/20/2007,,3001526517,32.5682182,-104.5567398,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,L-12-18S-31E 1740 FSL 660 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: W TAYLOR 12 FED Original Operator Name: W TAYLOR 12 FED HARVEY E YATES /W TAYLOR 12 FED Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526532,32.7596297732013,-103.829468026232,NAD83
"HARVARD PETROLEUM COMPANY, LLC",Active,Oil,New,Vertical,No,State,State,B-24-19S-27E 330 FNL 1800 FEL,3511,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 1950,11/25/1990 Approved TA: Shut In: Plug & Abandoned Intent: 10/31/2022 Well Plugged: Site Release:,11/01/2022 Current APD Expiration: 01/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 11/01/2022,,3001526538,32.6521034,-104.2295532,NAD83
EOG RESOURCES INC,Active,Oil,New,Vertical,No,State,Federal,P-11-22S-31E 330 FSL 430 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8425,12/07/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,09/15/2022 Current APD Expiration: 02/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 09/15/2022,,3001526549,32.3996735,-103.7414551,NAD83
KAISER-FRANCIS OIL CO,"Plugged, Site Released",Oil,Plugback,Vertical,No,State,Private,J-36-23S-28E 1980 FSL 1980 FEL,2974,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 12150,01/01/1991 Approved TA: Shut In: Plug & Abandoned Intent: 01/26/2022 Well Plugged: 08/17/2022 Site Release: 09/24/2024,09/24/2024 Current APD Expiration: 01/12/2009 Gas Capture Plan: TA Expiration: PNR Expiration: 08/17/2023 Last MIT / BHT: 09/24/2024,,3001526564,32.2597618,-104.0387039,NAD83
"CHESAPEAKE OPERATING, INC.","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,I-03-19S-30E 2310 FSL 480 FEL,,,,Single,No C-129 Incidents: 0 P&A 07/01/2009 Proposed: 0 Measured Vertical Depth: 3500,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 07/01/2009 Site Release:,07/31/2009 Current APD Expiration: 03/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526565,32.6885109,-103.9528351,NAD83
PRE-ONGARD WELL OPERATOR,Cancelled Apd,Oil,New,,No,,Federal,L-08-23S-31E 660 FSL 250 FWL,,,,,No C-129 Incidents: 0 Pre-ONGARD Information Original Well Name: WILDCAT MORROW Original Operator Name: WILDCAT MORROW JAMES RANCH UT /WILDCAT MORROW Proposed: 0 Measured Vertical Depth: 0,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,Current APD Expiration: 01/01/1902 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526566,32.3135193167561,-103.807590551023,NAD83
"RILEY PERMIAN OPERATING COMPANY, LLC",Active,Oil,Plugback,Vertical,No,Federal,Private,M-17-19S-25E 780 FSL 730 FWL,3596,,,Single,No C-129 Incidents: 0 GLOR-YESO Proposed: 8105 Measured Vertical Depth: 8105,01/12/1991 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,08/05/2024 Current APD Expiration: 07/22/2015 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT: 08/05/2024,,3001526570,32.6558685,-104.5131989,NAD83
"LH Operating, LLC",Active,Oil,New,Vertical,No,Federal,Federal,J-29-17S-31E 1335 FSL 1335 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 0,12/17/1990 Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: Site Release:,06/09/2017 Current APD Expiration: 01/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526571,32.8019867,-103.8876038,NAD83
"DEVON ENERGY PRODUCTION COMPANY, LP","Plugged, Site Released",Oil,New,Vertical,No,Federal,Federal,J-09-21S-26E Lot: 4 1750 FSL 2080 FEL,,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 4250,Approved TA: Shut In: Plug & Abandoned Intent: Well Plugged: 02/18/2003 Site Release:,10/18/2001 Current APD Expiration: 06/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: Last MIT / BHT:,,3001526588,32.4921684,-104.2961731,NAD83
EOG RESOURCES INC,"Plugged, Site Released",Oil,New,Vertical,No,State,State,F-16-23S-31E 2310 FNL 1650 FWL,3349,,,Single,No C-129 Incidents: 0 Proposed: 0 Measured Vertical Depth: 8130,01/02/1991 Approved TA: Shut In: Plug & Abandoned Intent: 03/22/2019 Well Plugged: 06/29/2019 Site Release: 10/23/2020,10/21/2020 Current APD Expiration: 12/01/1993 Gas Capture Plan: TA Expiration: PNR Expiration: 06/29/2020 Last MIT / BHT: 10/21/2020,,3001526591,32.305336,-103.7860031,NAD83
